,lat,lng,counts,duration,dur_per_user
477,55.728904724121094,37.558692932128906,2473,277393,112
478,55.72898483276367,37.637245178222656,2822,141456,50
479,55.729156494140625,37.59199523925781,505,35191,69
480,55.72918701171875,37.62076950073242,607,22662,37
481,55.72918701171875,37.620784759521484,1529,79985,52
482,55.72920227050781,37.592041015625,1322,74123,56
483,55.72943115234375,37.62241744995117,3542,161598,45
484,55.72944641113281,37.622371673583984,1936,115982,59
485,55.72951126098633,37.56605911254883,833,88257,105
486,55.729522705078125,37.56607437133789,569,41915,73
487,55.72956848144531,37.55779266357422,238,15454,64
488,55.72960662841797,37.574337005615234,888,79730,89
489,55.72964096069336,37.586265563964844,2033,680740,334
490,55.72965621948242,37.631568908691406,911,68903,75
491,55.72972869873047,37.625091552734375,10884,750627,68
492,55.72984313964844,37.59235382080078,1315,75437,57
493,55.729949951171875,37.58843231201172,754,33650,44
494,55.73001480102539,37.6595573425293,2307,106424,46
495,55.7301139831543,37.6143913269043,2938,196722,66
496,55.73011779785156,37.557071685791016,530,31767,59
497,55.73012161254883,37.61280822753906,3066,186679,60
498,55.730140686035156,37.626285552978516,1264,80236,63
499,55.73015594482422,37.61606979370117,1640,75529,46
500,55.73020935058594,37.618919372558594,1007,52514,52
501,55.73020935058594,37.618934631347656,1129,66859,59
502,55.730262756347656,37.571781158447266,415,31953,76
503,55.73027038574219,37.57179641723633,468,39510,84
504,55.7303581237793,37.563209533691406,494,34521,69
505,55.730369567871094,37.563255310058594,1518,132317,87
506,55.73037338256836,37.62340545654297,2186,92034,42
507,55.73038864135742,37.56328582763672,159,12178,76
508,55.73041534423828,37.633243560791016,1170,58200,49
509,55.73042297363281,37.57174301147461,399,36636,91
510,55.730430603027344,37.57170867919922,399,34023,85
511,55.73049545288086,37.592857360839844,1232,60526,49
512,55.730506896972656,37.59285354614258,659,38191,57
513,55.73054885864258,37.64242935180664,4177,374892,89
514,55.73056411743164,37.60844421386719,647,26727,41
515,55.73056411743164,37.60845947265625,944,57424,60
516,55.73060607910156,37.57711410522461,1388,189177,136
517,55.73060607910156,37.629512786865234,3005,113607,37
518,55.73072814941406,37.61176681518555,5203,324668,62
519,55.730743408203125,37.63149642944336,2042,96378,47
520,55.73076248168945,37.63164138793945,996,41860,42
521,55.73086929321289,37.63642501831055,9320,531762,57
522,55.73089599609375,37.60991287231445,918,35106,38
523,55.73089599609375,37.609928131103516,2521,149512,59
524,55.730899810791016,37.58887481689453,689,28820,41
525,55.73090744018555,37.58887481689453,793,37220,46
526,55.73090744018555,37.66692352294922,823,68805,83
527,55.730926513671875,37.66692352294922,1246,69338,55
528,55.73100280761719,37.6336669921875,1825,97617,53
529,55.73101043701172,37.63365173339844,2540,111788,44
530,55.731056213378906,37.621707916259766,1024,52296,51
531,55.73106002807617,37.591209411621094,1097,99450,90
532,55.73106002807617,37.59122848510742,1383,77676,56
533,55.7310791015625,37.564727783203125,644,57781,89
534,55.731082916259766,37.62173843383789,713,32212,45
535,55.73109436035156,37.62570571899414,1950,130291,66
536,55.73110580444336,37.56477355957031,275,47669,173
537,55.731109619140625,37.6257209777832,951,69291,72
538,55.73113250732422,37.611751556396484,1309,74896,57
539,55.73114013671875,37.5935173034668,2382,123885,52
540,55.73114013671875,37.635433197021484,2428,107503,44
541,55.73114776611328,37.63546371459961,3992,260938,65
542,55.73115921020508,37.593502044677734,1473,88979,60
543,55.73122787475586,37.62968063354492,5316,706277,132
544,55.73124313354492,37.6621208190918,2183,145317,66
545,55.73125457763672,37.62972640991211,809,80617,99
546,55.73129653930664,37.60859298706055,640,25174,39
547,55.73129653930664,37.60862350463867,1075,101704,94
548,55.73129653930664,37.665287017822266,4549,307585,67
549,55.73129653930664,37.66530227661133,2144,100252,46
550,55.7313117980957,37.60860824584961,1754,95694,54
551,55.73133087158203,37.58002471923828,412,34191,82
552,55.73133087158203,37.606807708740234,2181,98425,45
553,55.73145294189453,37.58692169189453,201,19117,95
554,55.73149108886719,37.66352844238281,6759,660211,97
555,55.73150634765625,37.60340881347656,3486,194187,55
556,55.73162841796875,37.668540954589844,2294,161944,70
557,55.73163986206055,37.56501007080078,326,24479,75
558,55.73164749145508,37.56499099731445,219,13889,63
559,55.731693267822266,37.616668701171875,343,61014,177
560,55.7317008972168,37.61668395996094,492,41475,84
561,55.731712341308594,37.624107360839844,2547,221765,87
562,55.731719970703125,37.62410354614258,1662,135962,81
563,55.73175811767578,37.660587310791016,394,23370,59
564,55.73176193237305,37.61161804199219,1224,63450,51
565,55.73176574707031,37.660587310791016,1430,139548,97
566,55.73176956176758,37.580928802490234,103,2764,26
567,55.73181915283203,37.6385612487793,1260,56592,44
568,55.73183059692383,37.63857650756836,1747,95947,54
569,55.731834411621094,37.6116943359375,2018,91486,45
570,55.73185348510742,37.5811653137207,153,12052,78
571,55.73187255859375,37.63276290893555,253,21274,84
572,55.73188018798828,37.63276290893555,482,32355,67
573,55.73191452026367,37.66767120361328,2075,110190,53
574,55.73191833496094,37.592994689941406,1055,49071,46
575,55.73191833496094,37.61505126953125,408,29766,72
576,55.7319450378418,37.620689392089844,294,9387,31
577,55.731956481933594,37.66489791870117,2712,176674,65
578,55.73202133178711,37.59260940551758,1572,101077,64
579,55.73202896118164,37.59262466430664,317,13478,42
580,55.7320442199707,37.63547897338867,6883,497740,72
581,55.732059478759766,37.62934875488281,494,33131,67
582,55.732078552246094,37.62934875488281,746,50632,67
583,55.73212814331055,37.60524368286133,2902,174963,60
584,55.73215866088867,37.566978454589844,1379,263614,191
585,55.732181549072266,37.6402702331543,3335,219631,65
586,55.7321891784668,37.6402702331543,1580,80774,51
587,55.73219680786133,37.572017669677734,1024,72016,70
588,55.73220443725586,37.63751220703125,2151,229386,106
589,55.732208251953125,37.6305046081543,1109,73038,65
590,55.732208251953125,37.63051986694336,629,36096,57
591,55.732208251953125,37.64028549194336,2696,126917,47
592,55.732234954833984,37.62028121948242,3262,491799,150
593,55.73225021362305,37.671485900878906,1231,72467,58
594,55.73227310180664,37.64841842651367,289,17771,61
595,55.7322998046875,37.56482696533203,265,15308,57
596,55.73234558105469,37.56483840942383,324,29258,90
597,55.732383728027344,37.5946044921875,1722,88358,51
598,55.73241424560547,37.59461975097656,616,22121,35
599,55.7324333190918,37.62895202636719,391,30507,78
600,55.73251724243164,37.603023529052734,4701,309310,65
601,55.7325439453125,37.632484436035156,788,45893,58
602,55.73257064819336,37.61479187011719,886,129790,146
603,55.73257827758789,37.61479187011719,159,21145,132
604,55.732582092285156,37.62214660644531,607,39595,65
605,55.732582092285156,37.62216567993164,1296,133185,102
606,55.73259353637695,37.62733840942383,674,43985,65
607,55.73261260986328,37.62735366821289,830,60967,73
608,55.73261260986328,37.633216857910156,239,14084,58
609,55.73262405395508,37.63321304321289,763,36099,47
610,55.73263168334961,37.601173400878906,442,42795,96
611,55.732669830322266,37.62923049926758,400,32169,80
612,55.732704162597656,37.62419891357422,2112,142195,67
613,55.73271942138672,37.62419509887695,448,13493,30
614,55.73273849487305,37.6241340637207,1725,243427,141
615,55.73274230957031,37.6008186340332,491,36710,74
616,55.7327880859375,37.555511474609375,968,44246,45
617,55.732872009277344,37.62982940673828,718,112843,157
618,55.73289108276367,37.65861129760742,1053,67554,64
619,55.73293685913086,37.619537353515625,1252,73886,59
620,55.732940673828125,37.601463317871094,1609,79417,49
621,55.73294448852539,37.60104751586914,1974,127853,64
622,55.73294448852539,37.61953353881836,945,77536,82
623,55.73294448852539,37.648040771484375,292,15042,51
624,55.73308181762695,37.60120391845703,2898,157452,54
625,55.73311996459961,37.61733627319336,427,30588,71
626,55.73312759399414,37.61738204956055,750,95199,126
627,55.733158111572266,37.61612319946289,52,3892,74
628,55.73320388793945,37.59323501586914,1594,100964,63
629,55.73321533203125,37.5932502746582,1795,109358,60
630,55.73326110839844,37.63895797729492,1261,90355,71
631,55.733272552490234,37.63895797729492,799,58795,73
632,55.73330307006836,37.63215637207031,352,27992,79
633,55.73331832885742,37.63210678100586,905,97653,107
634,55.73332214355469,37.615074157714844,10,1301,130
635,55.73334884643555,37.60963439941406,295,24389,82
636,55.73335647583008,37.609649658203125,1807,247292,136
637,55.73346710205078,37.65452194213867,155,17856,115
638,55.73347091674805,37.62294387817383,169,12541,74
639,55.73347854614258,37.62294387817383,165,15522,94
640,55.7335090637207,37.61375045776367,110,7077,64
641,55.733604431152344,37.624515533447266,1045,45087,43
642,55.73362731933594,37.62749481201172,651,54977,84
643,55.73363494873047,37.62749481201172,1196,69790,58
644,55.733665466308594,37.657527923583984,278,13469,48
645,55.73371505737305,37.62572479248047,810,67491,83
646,55.73378372192383,37.62451171875,1496,127711,85
647,55.73379898071289,37.56607437133789,157,9015,57
648,55.733863830566406,37.634159088134766,1197,52278,43
649,55.73394775390625,37.63418960571289,439,40632,92
650,55.73399353027344,37.657264709472656,657,55086,83
651,55.734066009521484,37.564266204833984,763,45095,59
652,55.734092712402344,37.60185241699219,1040,85126,81
653,55.73410415649414,37.65402603149414,149,11585,77
654,55.7341423034668,37.59748840332031,1719,96911,56
655,55.73414993286133,37.65422058105469,211,17058,80
656,55.73418426513672,37.63624954223633,898,87881,97
657,55.73419952392578,37.6016731262207,745,65321,87
658,55.73420715332031,37.593204498291016,7423,573522,77
659,55.73420715332031,37.63838195800781,480,39533,82
660,55.73421859741211,37.63836669921875,249,12313,49
661,55.73428726196289,37.67813491821289,396,23200,58
662,55.73431396484375,37.6166877746582,126,8386,66
663,55.73433303833008,37.6166877746582,269,20517,76
664,55.73436737060547,37.567665100097656,471,76240,161
665,55.73436737060547,37.56768035888672,528,81677,154
666,55.734371185302734,37.59629821777344,1128,63105,55
667,55.734378814697266,37.61332702636719,1920,122686,63
668,55.7343864440918,37.61332321166992,1425,70618,49
669,55.734439849853516,37.59523010253906,406,31316,77
670,55.734439849853516,37.61235046386719,496,17534,35
671,55.73444747924805,37.61235046386719,1162,40912,35
672,55.7344970703125,37.59623336791992,1475,124418,84
673,55.73451232910156,37.6286735534668,957,59182,61
674,55.73457336425781,37.60274124145508,335,32586,97
675,55.73460006713867,37.602806091308594,764,55444,72
676,55.734619140625,37.626216888427734,1038,57474,55
677,55.73463439941406,37.56536102294922,212,11133,52
678,55.734642028808594,37.59547805786133,237,10790,45
679,55.734642028808594,37.59549331665039,1751,82230,46
680,55.734676361083984,37.60246658325195,602,72299,120
681,55.73470687866211,37.60261154174805,851,57634,67
682,55.73472595214844,37.59811782836914,1586,98721,62
683,55.73472595214844,37.65669631958008,637,38314,60
684,55.7347412109375,37.63603973388672,458,26379,57
685,55.73475646972656,37.63600540161133,484,39594,81
686,55.734806060791016,37.63642120361328,207,39850,192
687,55.734867095947266,37.61939239501953,4678,460127,98
688,55.734893798828125,37.63121032714844,597,61984,103
689,55.73493194580078,37.63307189941406,603,43857,72
690,55.73506164550781,37.633243560791016,1962,79023,40
691,55.735111236572266,37.597625732421875,431,21369,49
692,55.73522186279297,37.56566619873047,10270,767124,74
693,55.735225677490234,37.59394454956055,12702,1054218,82
694,55.735267639160156,37.60396194458008,1394,120896,86
695,55.73527145385742,37.61361312866211,263,10440,39
696,55.735286712646484,37.62791442871094,2331,161230,69
697,55.735294342041016,37.62791442871094,1900,4295061274,2260558
698,55.735313415527344,37.625572204589844,368,19112,51
699,55.735321044921875,37.58793640136719,1004,86586,86
700,55.735328674316406,37.587921142578125,635,61509,96
701,55.73533248901367,37.625572204589844,531,47692,89
702,55.735626220703125,37.666419982910156,674,61372,91
703,55.73564147949219,37.617149353027344,508,39405,77
704,55.735660552978516,37.61713409423828,254,21559,84
705,55.73567581176758,37.671573638916016,1585,116676,73
706,55.735713958740234,37.639732360839844,898,81186,90
707,55.73572540283203,37.63971710205078,986,65898,66
708,55.73575210571289,37.629459381103516,2732,143518,52
709,55.73576354980469,37.62947463989258,6013,679947,113
710,55.73579406738281,37.615394592285156,191,14519,76
711,55.73579406738281,37.61540985107422,214,14874,69
712,55.73582077026367,37.651729583740234,660,49308,74
713,55.73583984375,37.59416198730469,436,62012,142
714,55.735870361328125,37.644935607910156,819,54459,66
715,55.735897064208984,37.619117736816406,827,55903,67
716,55.73590850830078,37.619117736816406,1689,88649,52
717,55.73607635498047,37.61429977416992,2763,147285,53
718,55.73616027832031,37.63704299926758,785,75612,96
719,55.7363166809082,37.63173294067383,1516,69947,46
720,55.73632049560547,37.595149993896484,4120,308912,74
721,55.73633575439453,37.6317138671875,2334,114879,49
722,55.73637390136719,37.64252853393555,32,3880,121
723,55.736385345458984,37.64252853393555,60,4031,67
724,55.736454010009766,37.59457015991211,2404,146507,60
725,55.73645782470703,37.592529296875,5908,529778,89
726,55.7364616394043,37.65622329711914,263,16239,61
727,55.73646545410156,37.594566345214844,1633,77615,47
728,55.736473083496094,37.65620803833008,482,35261,73
729,55.73647689819336,37.645328521728516,1327,120767,91
730,55.736488342285156,37.645328521728516,344,14114,41
731,55.73649978637695,37.6774787902832,659,69992,106
732,55.73653793334961,37.61750030517578,2599,199891,76
733,55.73653793334961,37.617515563964844,235,10333,43
734,55.73659133911133,37.63457489013672,283,17819,62
735,55.736602783203125,37.63455581665039,288,13403,46
736,55.73662567138672,37.67205047607422,27,1998,74
737,55.73668670654297,37.59135437011719,4169,198350,47
738,55.73671340942383,37.627925872802734,993,53914,54
739,55.736724853515625,37.6279411315918,1427,83488,58
740,55.73678207397461,37.635520935058594,673,43285,64
741,55.736793518066406,37.635520935058594,505,28661,56
742,55.736854553222656,37.632144927978516,597,34355,57
